week #,home_team,away_team
1,NO,ARI
1,ATL,TB
1,BUF,BAL
1,JAX,CAR
1,CHI,MIN
1,CLE,CIN
1,PHI,DAL
1,DEN,TEN
1,GB,DET
1,LA,HOU
1,IND,MIA
1,LAC,KC
1,NE,LV
1,WAS,NYG
1,NYJ,PIT
1,SEA,SF
2,ARI,CAR
2,MIN,ATL
2,BAL,CLE
2,NYJ,BUF
2,DET,CHI
2,CIN,JAX
2,DAL,NYG
2,IND,DEN
2,GB,WAS
2,HOU,TB
2,KC,PHI
2,LV,LAC
2,TEN,LA
2,MIA,NE
2,NO,SF
2,PIT,SEA
3,SF,ARI
3,CAR,ATL
3,BAL,DET
3,BUF,MIA
3,CHI,DAL
3,MIN,CIN
3,CLE,GB
3,LAC,DEN
3,JAX,HOU
3,TEN,IND
3,NYG,KC
3,PHI,LA
3,WAS,LV
3,NE,PIT
3,SEA,NO
3,TB,NYJ
4,ARI,SEA
4,ATL,WAS
4,KC,BAL
4,BUF,NO
4,NE,CAR
4,LV,CHI
4,DEN,CIN
4,DET,CLE
4,DAL,GB
4,HOU,TEN
4,LA,IND
4,SF,JAX
4,NYG,LAC
4,MIA,NYJ
4,PIT,MIN
4,TB,PHI
5,ARI,TEN
5,BAL,HOU
5,BUF,NE
5,CAR,MIA
5,CIN,DET
5,CLE,MIN
5,NYJ,DAL
5,PHI,DEN
5,IND,LV
5,JAX,KC
5,LAC,WAS
5,LA,SF
5,NO,NYG
5,SEA,TB
6,IND,ARI
6,ATL,BUF
6,BAL,LA
6,CAR,DAL
6,WAS,CHI
6,GB,CIN
6,PIT,CLE
6,NYJ,DEN
6,KC,DET
6,JAX,SEA
6,MIA,LAC
6,LV,TEN
6,NO,NE
6,NYG,PHI
6,TB,SF
7,ARI,GB
7,SF,ATL
7,NYJ,CAR
7,CHI,NO
7,CIN,PIT
7,CLE,MIA
7,DAL,WAS
7,DEN,NYG
7,DET,TB
7,SEA,HOU
7,LAC,IND
7,JAX,LA
7,KC,LV
7,MIN,PHI
7,TEN,NE
8,ATL,MIA
8,BAL,CHI
8,CAR,BUF
8,CIN,NYJ
8,NE,CLE
8,DEN,DAL
8,PIT,GB
8,HOU,SF
8,IND,TEN
8,KC,WAS
8,LAC,MIN
8,NO,TB
8,PHI,NYG
9,DAL,ARI
9,NE,ATL
9,MIA,BAL
9,BUF,KC
9,GB,CAR
9,CIN,CHI
9,HOU,DEN
9,DET,MIN
9,PIT,IND
9,LV,JAX
9,TEN,LAC
9,LA,NO
9,NYG,SF
9,WAS,SEA
10,SEA,ARI
10,IND,ATL
10,MIN,BAL
10,MIA,BUF
10,CAR,NO
10,CHI,NYG
10,NYJ,CLE
10,DEN,LV
10,WAS,DET
10,GB,PHI
10,HOU,JAX
10,LAC,PIT
10,SF,LA
10,TB,NE
11,ARI,SF
11,ATL,CAR
11,CLE,BAL
11,BUF,TB
11,MIN,CHI
11,PIT,CIN
11,LV,DAL
11,DEN,KC
11,PHI,DET
11,NYG,GB
11,TEN,HOU
11,JAX,LAC
11,LA,SEA
11,MIA,WAS
11,NE,NYJ
12,ARI,JAX
12,NO,ATL
12,BAL,NYJ
12,HOU,BUF
12,SF,CAR
12,CHI,PIT
12,CIN,NE
12,LV,CLE
12,DAL,PHI
12,DET,NYG
12,GB,MIN
12,KC,IND
12,LA,TB
12,TEN,SEA
13,TB,ARI
13,NYJ,ATL
13,BAL,CIN
13,PIT,BUF
13,CAR,LA
13,PHI,CHI
13,CLE,SF
13,DAL,KC
13,WAS,DEN
13,DET,GB
13,IND,HOU
13,TEN,JAX
13,LAC,LV
13,MIA,NO
13,SEA,MIN
13,NE,NYG
14,ARI,LA
14,ATL,SEA
14,BAL,PIT
14,BUF,CIN
14,GB,CHI
14,CLE,TEN
14,DET,DAL
14,LV,DEN
14,KC,HOU
14,JAX,IND
14,LAC,PHI
14,NYJ,MIA
14,MIN,WAS
14,TB,NO
15,HOU,ARI
15,TB,ATL
15,CIN,BAL
15,NE,BUF
15,NO,CAR
15,CHI,CLE
15,DAL,MIN
15,DEN,GB
15,LA,DET
15,SEA,IND
15,JAX,NYJ
15,KC,LAC
15,PHI,LV
15,PIT,MIA
15,NYG,WAS
15,SF,TEN
16,ARI,ATL
16,BAL,NE
16,CLE,BUF
16,CAR,TB
16,CHI,GB
16,MIA,CIN
16,DAL,LAC
16,DEN,JAX
16,DET,PIT
16,HOU,LV
16,IND,SF
16,TEN,KC
16,SEA,LA
16,NYG,MIN
16,NO,NYJ
16,WAS,PHI
17,CIN,ARI
17,ATL,LA
17,GB,BAL
17,BUF,PHI
17,CAR,SEA
17,SF,CHI
17,CLE,PIT
17,WAS,DAL
17,KC,DEN
17,MIN,DET
17,LAC,HOU
17,IND,JAX
17,LV,NYG
17,MIA,TB
17,NYJ,NE
17,TEN,NO
18,LA,ARI
18,ATL,NO
18,PIT,BAL
18,BUF,NYJ
18,TB,CAR
18,CHI,DET
18,CIN,CLE
18,NYG,DAL
18,DEN,LAC
18,MIN,GB
18,HOU,IND
18,JAX,TEN
18,LV,KC
18,NE,MIA
18,PHI,WAS
18,SF,SEA
